,Category,Sub Category,Grand Category
0,Electronic Devices,Mobiles,Mobiles
1,Electronic Accessories,Mobiles Accessories,Phone Cases & Covers
2,Electronic Accessories,Mobiles Accessories,Power Banks
3,Electronic Accessories,Mobiles Accessories,Cables & Converters
4,Electronic Accessories,Mobiles Accessories,Wireless Chargers
5,Electronic Accessories,Mobiles Accessories,Screen Protectors
6,Electronic Accessories,Mobiles Accessories,Prepaid Cards
7,Electronic Accessories,Mobiles Accessories,Car Mounts
8,Electronic Accessories,Mobiles Accessories,Wall Chargers
9,Electronic Accessories,Mobiles Accessories,Tablet Cases & Covers
10,Electronic Accessories,Mobiles Accessories,Replacement Parts
11,Electronic Accessories,Mobiles Accessories,Docks & Stands
12,Electronic Accessories,Mobiles Accessories,Fashion Mobile Accessories
13,Home & Lifestyle,Furniture & Organization,0
14,Men's Fashion,Men's Clothing,0
15,Fashion Accessories,Women's Bags,Cross Body & Shoulder Bags
16,Fashion Accessories,Women's Bags,Backpacks
17,Fashion Accessories,Women's Bags,Wallets
18,Fashion Accessories,Women's Bags,Top-Handle Bags
19,Fashion Accessories,Women's Bags,Tote Bags
20,Fashion Accessories,Women's Bags,Bag Accessories
21,Fashion Accessories,Women's Bags,Card Holders
22,Fashion Accessories,Women's Bags,Wristlets
23,Fashion Accessories,Women's Bags,Coin Purses & Pouches
24,Fashion Accessories,Women's Bags,Clutches
25,Fashion Accessories,Women's Bags,Key Holders
26,Fashion Accessories,Women's Bags,Luggage & Travel
27,Automotive & Motorcycles,Oils & Fluids,0
28,Electronic Devices,Tablets,Tablets
29,Electronic Accessories,Audio,Headphones & Headsets
30,Electronic Accessories,Audio,Portable Speakers
31,Electronic Accessories,Audio,Home Entertainment
32,Electronic Accessories,Audio,Portable Players
33,Electronic Accessories,Audio,Professional Audio Equipment
34,Electronic Accessories,Audio,DJ Equipment
35,Electronic Accessories,Audio,Smart Speakers
36,Electronic Accessories,Audio,BT Transmitters & Receivers
37,Electronic Accessories,Audio,Streaming Media Players
38,Home & Lifestyle,Lighting,0
39,Men's Fashion,Men's Shoes,0
40,Fashion Accessories,Men's Bags,Crossbody Bags
41,Fashion Accessories,Men's Bags,Backpacks
42,Fashion Accessories,Men's Bags,Wallets
43,Fashion Accessories,Men's Bags,Waist Packs
44,Fashion Accessories,Men's Bags,Messenger Bags
45,Fashion Accessories,Men's Bags,Card Holders
46,Fashion Accessories,Men's Bags,Key Holders
