,title,price
0,FUJIFILM INSTAX MINI 9 แถมฟรีอัลบั้ม+กรอบรูป รับประกันศูนย์,"฿1,689.00"
1,Fujifilm instax mini Evo (Film Camera) [กล้องฟิล์ม] - ประกันศูนย์,"฿7,590.00"
2,Fujifilm Instax Mini 9 กล้องโพลารอยด์ Instant Film Camera ประกันศูนย์ 1 ปี กล้องอินสแตนท์ กล้องฟิล์ม,"฿1,690.00"
3,Fujifilm instax mini 11 (Instant Film Camera) [กล้องฟิล์ม] - ประกันศูนย์,"฿2,290.00"
4,Kodak M35 แท้100% กล้องฟิล์มโกดักM35 Kodak Film Camera M35 แถมแบตเตอรี่ สายคล้องมือ สติ๊กเกอร์ เปลี่ยนฟิล์มได้ สีเหลือง เขียวมิ้น ม่วง ชมพู แดง MASINA,฿790.00
5,กล้องฟิล์ม 35มม. กล้องทอย TRL DIY - LOMO DIY Dual Lens Reflex Camera Retro Classic,฿358.00
6,กล้องโพลาลอยด์ Instax mini9 กล้องอินสแตนท์ประกันศูนย์ฟูจิฟิล์มไทยแลน์ 1 ปี ( ถ่ายปุ๊ป รูปออกมาปั๊ป )(instant camera กล้องฟิล์ม),"฿1,590.00"
7,FUJIFILM instax mini 9,"฿1,690.00"
8,Tomy Printoss เครื่องพิมพ์ภาพถ่ายโพลารอยด์จากมือถือ ไม่ต้องใช้แบตเตอรี่ สั่งพิมพ์แล้วได้ทันที,฿239.00
9,กล้องโพลาลอยด์ Instax mini9 แถมฟรีฟิล์มโพลารอยด์ 10 รูป กล้องอินสแตนท์ประกันศูนย์ฟูจิฟิล์มไทยแลน์ 1 ปี  ( ภ่ายปุ๊ป ปริ้นรูปครับ ) instax,"฿1,990.00"
10,FUJIFILM INSTAX MINI 9 แถมฟรีFilm pack10*1pack+อัลบั้ม+กรอบรูป รับประกันศูนย์,"฿1,899.00"
11,FUJIFILM INSTAX MINI 40 Instant Film Camera *แถมฟรีFilm 1Pack+ กรอบรูป+อัลบั้มใส่รูป120รูป* รับประกันศูนย์1ปี,"฿3,390.00"
12,*ส่งฟรี*ฟิล์มโพลารอยด์ Mini Fuji Instax film แพค10รูป x10กล่อง(100 รูป)*ของแท้100%*Lotใหม่หมดอายุ10/2023*,"฿2,199.00"
13,Fujifilm Instax Mini Link Smartphone Printer เครื่องพิมพ์สมาร์ทโฟน แถมฟิล์ม 40 แผ่น ( แท้100% รับประกันศูนย์ไทย 1 ปี ),"฿5,180.00"
14,Fuji Instax Mini9 ประกันศูนย์,"฿1,750.00"
15,กล้องโพลาลอยด์ Instax mini9 กล้องอินสแตนท์ ( เจ้าของเดี๋ยวกับร้าน ohmshop_p สอบถามที่ร้านได้เลยครับ ) ประกันศูนย์ฟูจิฟิล์มไทยแลน์ 1 ปี ส่งด่วนทัก,"฿1,690.00"
16,FUJIFILM Instax SQUARE SQ6 Taylor Swift,"฿6,990.00"
17,INSTAX Link Wide Smartphone Printer (กล้องอินสแตนท์),"฿5,790.00"
18,Fujifilm instax SQUARE SQ1 (Film Camera) [กล้องฟิล์ม] - ประกันศูนย์,"฿4,290.00"
19,Instax Mini 40 (กล้องอินสแตนท์),"฿3,590.00"
20,กล้องดิจิตอล Lecran FHD 1080P กล้องบล็อก 36 ล้านพิกเซลพร้อมจอ LCD ดิจิตอลซูม 16 เท่า,"฿1,799.00"
21,FUJIFILM INSTAX MINI9 แถมฟรีFilm pack10*1pack รับประกันศูนย์,"฿1,858.00"
22,【เมนูภาษาไทย】กล้องดิจิตอลซูมดิจิตอล Full HD 4K 16x กล้อง HD กล้องดิจิตอลซูมระดับมืออาชี กล้องถ่ายรูปกับวิดีโอบล็อกที่ความ,"฿2,788.00"
23,【เมนูภาษาไทย】กล้องดิจิตอล48MP ให้การ์ดหน่วยความจำ 32GB หน้าจอ 3.0 นิ้ว ความคมชัด 18 ล้านพิกเซล ความละเอียด 4K มีระบบกันสั่น,"฿2,788.00"
24,Printoss (Kiipix) เครื่องพิมพ์ภาพ Polaroid จากมือถือ ไม่ใช้แบต ไม่ต้องเชื่อมต่อใดๆ ***สามารถใช้ฟิล์มโพราลอยด์ของฟูจิได้,฿990.00
25,Fujifilm Instax Mini 9 Mickey Mouse Set โพลารอยด์ mini 9 เซ็ตสุดคุ้ม รับประกันศูนย์ไทย,"฿4,790.00"
26,กล้องPixtoss Instant รุ่นใหม่ล่าสุดจากประเทศญี่ปุ่น,"฿2,190.00"
