,title,price
0,Century Guitar Bass กีต้าร์เบสไฟฟ้า 4สาย รุ่น CB-22 สีแดง แถมกระเป๋า+สายแจ็ค,"฿3,990.00"
1,Century Guitar Bass กีต้าร์เบสไฟฟ้า 4สาย รุ่น CB-23 CB/BK สีดำ แถมกระเป๋า+สายแจ็ค,"฿3,990.00"
2,Yamaha® TRBX174 Electric Bass Guitar (Alder Body / Maple Neck),"฿7,400.00"
3,(ฟรี..ยางล๊อคสาย) Tribal สายสะพายกีต้าร์ สายสะพายเบส เส้นใหญ่ Guitar Strap สายสะพายกีตาร์ โปร่ง,฿348.00
4,JOYO MA-10B Bass Amp,"฿1,290.00"
5,Cravis 4-string Electric Bass Guitar with Basswood Body 24 Frets model KB-03-N - Natural Free Bag Cable,"฿3,290.00"
6,YAMAHA TRBX174  Electric Bass Guitar กีตาร์เบสยามาฮ่า รุ่น TRBX174,"฿8,000.00"
7,YAMAHA TRBX174 Electric Bass Guitar TRBX174 - Electric Bass for Beginner,"฿7,400.00"
8,Cravis 4-string Electric Bass Guitar with Basswood Body 24 Frets model KB-03-N - Natural,"฿2,990.00"
9,Gusta GPJ4-03 Basses กีตาร์เบส Music Arms,"฿5,220.00"
10,Century CB-23 4-String Jazz Bass Guitar + Free Accessories ** Bass Guitar for Beginner **,"฿3,690.00"
11,YAMAHA TRBX174  Electric Bass Guitar กีตาร์เบสยามาฮ่า รุ่น TRBX174,"฿8,000.00"
12,Ampeg Rocket Bass RB-108 แอมป์เบส by iGuitar,"฿5,900.00"
13,กีต้าร์เบสไฟฟ้า Magna รุ่น JB Jazz Bass เบสไฟฟ้า 4 สาย สำหรับผู้ที่ต้องการฝึกหัดเล่นเบส และมองหาเบสในราคาถูก เสียงดี คุณภาพดี ในราคาประหยัด,"฿2,990.00"
14,Paul Ray Bass รุ่น PJB Jazz Bass 4 และ 5 สาย กีตาร์เบสไฟฟฟ้า by iGuitar music,"฿6,930.00"
15,Gusta GIB5-01 II กีตาร์เบส  5 สาย +ฟรี กระเป๋าและอุปกรณ์ Music Arms,"฿3,960.00"
16,【ผ่อน 0% 3 เดือน】เบสไฟฟ้า Century Dark Series Jazz Bass 4 ที่จะทำให้การเล่นเป็นเรื่องง่าย เสียงเด้ง ดุดัน สยบทุกบทเพลง พร้อมของแถมสุดพรีเมี่ยม,"฿4,090.00"
17,Vox Pathfinder 10 Bass แอมป์เบส,"฿2,970.00"
18,YAMAHA TRBX174  Electric Bass Guitar กีตาร์เบสยามาฮ่า รุ่น TRBX174,"฿8,000.00"
19,Warwick BC Series แอมป์เบส - by  iguitar music,"฿3,520.00"
20,【ผ่อน 0% 10 เดือน】เบสไฟฟ้า Squier Affinity Jazz Bass【ฟรี】ของแถม Premium พร้อม SETUP จัดส่งฟรี - เต่าแดง,"฿9,900.00"
21,Tagima TMB-5 Active (5 String Bass) - by iguitar music,"฿7,040.00"
22,Warwick Rockbass Corvette Basic กีตาร์เบส 4 สาย Bass 4 Strings Music Arms,"฿20,000.00"
23,Squier® by Fender® SQUIER AFFINITY SERIES JAGUAR BASS H - 1-Year Warranty,"฿9,000.00"
24,Paul Ray P Bass 5 string กีตาร์เบสไฟฟ้า by iGuitar Music,"฿6,930.00"
25,กีตาร์เบส แจ๊สเบส 4 สาย มือสองญี่ปุ่น ยี่ห้อ Photoginic,"฿2,600.00"
26,Tagima TMB-4 Active (4 String Bass) กีตาร์เบสไฟฟ้า by iGuitar Music,"฿6,160.00"
27,Fender® RUMBLE™ 25 V.3 | 25-Watt Electric Bass Amplifier | 1-Year Warranty,"฿4,860.00"
28,SQUIER by Fender Bullet Stratocaster HSS RW Artic White - free bag,"฿14,400.00"
29,Ibanez SR305EB กีต้าร์เบสไฟฟ้า จัดส่งฟรี +ฟรีของแถมสุดพรีเมี่ยม ประกันศูนย์ 1ปี Music Arms,"฿15,660.00"
30,Fender Rumble 15 แอมป์เบส มีของเลยพร้อมส่ง,"฿3,960.00"
31,Ampeg BA-115 แอมป์เบส 150 วัตต์ BA115 +ประกันศูนย์ 1ปี Music Arms,"฿15,900.00"
32,Ampeg BA-108 แอมป์เบส,"฿3,900.00"
33,เบสไฟฟ้า Squier Contemporary Jazz Bass LRL,"฿13,500.00"
34,Paramount BC500 Rectangular Deluxe ABS Electric Bass Guitar Hard Case,"฿3,290.00"
35,SQOE BS400 Electric Bass Guitar with Active HH Pickups + Free Cable,"฿6,900.00"
36,Schecter SGR C-4 เบส  iGuitar,"฿7,040.00"
37,Century CB-22 PJ 4-String Bass Guitar + Free Accessories ** Bass Guitar for Beginner **,"฿3,590.00"
38,Century CB-22 PJ 4-String Bass Guitar + Free Accessories ** Bass Guitar for Beginner **,"฿3,590.00"
39,At First เบส เบสไฟฟ้า รุ่น Jazz Bass รุ่น JB-4,"฿3,990.00"
40,Electric Guitar / Bass Desktop Mount Neck Rest Stand Guitar Rest Table Rest Support for Electric Guitars Bass,฿161.00
41,Portable Wireless Audio Guitar Transmitter Receiver System For Electric Guitar Bass Electric Violin Musical Instrument Wireless Receiver,฿413.00
42,Alnicov 3Pcs Single Coil Guitar Pickups Humbucker for Guitar Bass Musical Instrument,฿711.00
43,"Nux Mighty Plug MP-2 Guitar and Bass Modeling Headphone Amplug with Bluetooth,13 Amplifier Models,20 IR,19 Variety of Effects","฿4,471.00"
44,JOYO MA-10B แอมป์เบส 10w. Bass Amp,"฿1,090.00"
45,Rowin WS-20 2.4G Wireless Electric Guitar Transmitter Receiver Set 30 Meters Transmission Range for Electric Guitar Bass,"฿1,073.00"
46,4 Band KLT-1 Acoustic Guitar Bass EQ Equalizer with Digital Proceeding Tuner Guitar Pickup,฿282.00
47,"Passion IB-5 Electric Bass Guitar with 5-String, PJ Body Type, Elm Body, Maple Neck, Rosewood Fingerboard and 2-Single coil Pickup","฿3,690.00"
48,4 Band KLT-1 Acoustic Guitar Bass EQ Equalizer with Digital Proceeding Tuner Guitar Pickup,฿282.00
49,ARIA FEB-F2/FL กีตาร์เบสโปร่งไฟฟ้า แบรนด์ยอดฮิตจากประเทศ ญี่ปุ่น รุ่นนี้เป็น Fretless งานดี สวยเนี๊ยบ,"฿8,200.00"
50,4 Band KLT-1 Acoustic Guitar Bass EQ Equalizer with Digital Proceeding Tuner Guitar Pickup,฿278.00
51,Dragon Series Artificial Leather Electric Guitar Acoustic Guitar Folk Guitar Bass Strap,฿259.00
52,Paramount EJB155-BKM 5-String Modern PJ Bass Electric Guitar (Black Color) ** D'Addario Strings **,"฿5,290.00"
53,Chrome Control Plate For Genuine Fender 51 P Bass Guitar,฿259.00
54,NUX® Mighty Bass 50BT 50-Watt Bass Guitar Amplifier with App/Bluetooth/Headphones/USB Connectivity and Effect Integrated + Free NMP-2 Footswitch & Adapter **1 Year Warranty**,"฿7,650.00"
55,MUSEDO MT-41 Guitar Tuner Metronome Digital Sensitive Metronome Tuner Clip 3 in 1 for Electric Guitar Tuning Bass Ukulele,฿433.00
56,1 Set of 5Pcs Gold Open 5 Strings Bass Guitar Tuning Pegs Tuners Machine Heads Musical Instrument Accessories Parts,฿534.00
57,Guitar Picks Stainless Steel Picks Guitar Pick Holder with Picks Storage Case for Electric Guitar Bass Ukulele,฿104.00
58,Cherub GB2I Musical Instrument Guitar Interface Adapter for Guitar Bass Keyboard Microphone Mixer and for iPhone/iPad,฿190.00
59,ARIA PRO II PGB-200 กีตาร์เบส ขนาดพกพา มีลำโพงในตัว เสียงดี งานเนี๊ยบ แบรนด์ญี่ปุ่น,"฿8,000.00"
60,SWIFF WS-70 Wireless Guitar Transceiver Mini Wireless Transmission Receiver Suitable for Electric Guitar/Bass/Electric Blowpipe,"฿1,297.00"
61,JOYO MA-10B แอมป์เบส 10w. Bass Amp,"฿1,190.00"
62,Guitar Wall Hanger Auto Lock Guitar Wall Mount Hook Guitar Display Hanger Guitar Hook for Bass Electric Guitar Ukulele,฿304.00
63,Guitar Bridge Sadlles Single Individual Bridge Saddles Tailpiece Set for 5 String Electric Guitar Bass Parts,฿315.00
64,เบส Gretsch G2220 Junior Jet Bass II ( Stringsshop ),"฿11,000.00"
65,Durable Iron 4 String Guitar Bridge Baseplate for Bass Guitar Parts DIY Accessories,฿101.00
